major,normalized_major,department,normalized_department,college,normalized_college,source_url
Agribusiness - BS,Agribusiness,Agricultural Economics,Agricultural Economics,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-economics/agribusiness-bs/
"Agricultural Economics - BS, Finance and Real Estate Option",Agricultural Economics,Agricultural Economics,Agricultural Economics,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-economics/bs-finance-real-estate-option/
Financial Planning - BS,Financial Planning,Agricultural Economics,Agricultural Economics,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-economics/financial-planning-bs/
Agricultural Communications and Journalism - BS,Agricultural Communications and Journalism,"Agricultural Leadership, Education, and Communications","Agricultural Leadership, Education, and Communications",College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-leadership-education-communications/communications-journalism-bs/
Agricultural Education - BS,Agricultural Education,"Agricultural Leadership, Education, and Communications","Agricultural Leadership, Education, and Communications",College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-leadership-education-communications/agricultural-education-bs/
Agricultural Leadership and Development - BS,Agricultural Leadership and Development,"Agricultural Leadership, Education, and Communications","Agricultural Leadership, Education, and Communications",College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/agricultural-leadership-education-communications/leadership-development-bs/
"Animal Science - BS, Production/Industry Option",Animal Science,Animal Science,Animal Science,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/animal-science/bs-production-industry-option/
Biochemistry - BS,Biochemistry,Biochemistry and Biophysics,Biochemistry and Biophysics,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/biochemistry-biophysics/biochemistry-bs/
Genetics - BS,Genetics,Biochemistry and Biophysics,Biochemistry and Biophysics,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/biochemistry-biophysics/genetics-bs/
Agricultural Systems Management - BS,Agricultural Systems Management,Biological and Agricultural Engineering,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/biological-agricultural-engineering/agricultural-systems-management-bs/
Biological and Agricultural Engineering - BS,Biological and Agricultural Engineering,Biological and Agricultural Engineering,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/biological-agricultural-engineering/bs/
"Ecology and Conservation Biology - BS, Ecoinformatics Track",Ecology and Conservation Biology,Ecology and Conservation Biology,Ecology and Conservation Biology,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/ecology-and-conservation-biology/bs-ecoinformatics-track/
Entomology - BS,Entomology,Entomology,Entomology,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/entomology/bs/
"Forensic and Investigative Sciences - BS, Pre-Law Emphasis",Forensic and Investigative Sciences,Entomology,Entomology,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/entomology/forensic-investigative-sciences-prelaw-bs-emphasis/
"Food Science and Technology - BS, Food Industry Option",Food Science and Technology,Food Science and Technology,Food Science and Technology,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/food-science-and-technology/food-science-technology-food-industry-bs-option/
Horticulture - BA,Horticulture,Horticultural Sciences,Horticultural Sciences,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/horticultural-sciences/horticulture-ba/
"Hospitality, Hotel Management and Tourism - BS, Business Hospitality Track","Hospitality, Hotel Management and Tourism","Hospitality, Hotel Management and Tourism","Hospitality, Hotel Management and Tourism",College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/hospitality-hotel-management-tourism/bs-business-hospitality-track/
"Nutrition - BS, Didactic Program in Dietetics Track",Nutrition,Nutrition,Nutrition,College of Agriculture and Life Sciences,Agriculture and Life Sciences,https://catalog.tamu.edu/undergraduate/agriculture-life-sciences/nutrition/nutrition-bs-didactic-dietetics-track/
