term,subject,course_number,crn,title,restrictions
202611,ACCT,430,59752,GLOBAL IMMERSION IN ACCT: AUS,Must be assigned one of the following Student Attributes: STAB
202611,ACCT,445,47664,INTERNATIONAL ACCT,"Must be enrolled in one of the following Majors: Accounting, Business Honors"
202611,AGCJ,404,50109,SCI COMM PUB ENG AG & LIFE SCI,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours | Must be enrolled in one of the following Fields of Study Ag Communications & Journalism"
202611,AGEC,415,16768,FOOD AGBU STRAT MKT PLAN,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,AGEC,420,51359,FOOD SECURITY CLIMATE CONFLICT,May not be enrolled in one of the following Concentrations: CS
202611,AGEC,425,28338,AGBU ENTRE FINC ANALYSIS,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,AGEC,448,10101,AGR COMMODITY FUTURES,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,AGEC,453,30549,INTERNATIONAL AGBU MKTG,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,AGSC,373,20653,MANAGE SAFETY IN AGSC PRGM,"Must be enrolled in one of the following Fields of Study Agricultural Education, Agricultural Science"
202611,AGSC,383,10116,TEACHING AG MECHANICS,"Must be enrolled in one of the following Fields of Study Agricultural Education, Agricultural Science"
202611,AGSM,310,10125,AGRI MACHINERY MGMT,Must be enrolled in one of the following Departments: Biological & Agricultural Eng
202611,AGSM,325,10129,AGRI INDUS APPL ELEC,Must be enrolled in one of the following Departments: Biological & Agricultural Eng
202611,AGSM,337,49254,TECH ENV NAT RES ENGR,Must be enrolled in one of the following Departments: Biological & Agricultural Eng
202611,AGSM,360,33698,OCCUPATIONAL SAFETY MGMT,Must be enrolled in one of the following Fields of Study Agricultural Systems Mgmt
202611,AGSM,440,45195,MGMT AGRI SYSTM II,Must be enrolled in one of the following Majors: Agricultural Systems Mgmt
202611,ALEC,371,50120,SKILLS & TECH YOUTH DEVEL PRO,Must be enrolled in one of the following Fields of Study Youth Development
202611,ALEC,377,50118,CAMP MANAGEMENT & ADMIN,Must be enrolled in one of the following Fields of Study Youth Development
202611,ALEC,460,59699,APP INTL DEV THEORY AGRI: NAM,Must be assigned one of the following Student Attributes: STAB
202611,ALED,401,15278,ADVD PROF LEADERSHIP DEV,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,ALED,422,59024,CULTURAL PLRLSM IN AGRI,"Must be enrolled in one of the following Classifications: Sophomore 30-59 Hours, Junior 60-89 Hours, Senior 90+ Hours"
202611,ALED,441,28263,AGRI EXTEN ORG & METH,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,ANSC,111,34620,ANIMAL PROD SYS,"Must be enrolled in one of the following Majors: Animal Science, Blinn Team"
202611,ANSC,289,59098,SPTP: LIVESTOCK BREEDS,"Must be enrolled in one of the following Classifications: Sophomore 30-59 Hours, Junior 60-89 Hours, Senior 90+ Hours | Must be enrolled in one of the following Majors: Animal Science"
202611,ANSC,411,12457,EQUINE NUTR & HEALTH,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,ANSC,414,13505,SHEEP & GOAT PROD & MG,Must be enrolled in one of the following Majors: Animal Science
202611,ANSC,420,10172,EQUINE PROD & MGMT,Must be enrolled in one of the following Majors: Animal Science
202611,ANSC,423,34613,ISSUES EQUINE INDUSTRY,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours | Must be enrolled in one of the following Majors: Animal Science"
202611,ANSC,451,58000,CURRENT ISSUES IN ANIMAL AG,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours | Must be enrolled in one of the following Majors: Animal Science"
202611,ANSC,467,40136,PRCSD MEAT FD OPERATNS,"Must be enrolled in one of the following Classifications: Junior 60-89 Hours, Senior 90+ Hours"
202611,ANTH,402,42690,ARCHAEOLOG ARTIFACT CONS,"Must be enrolled in one of the following Fields of Study Anthropology, Museum Studies, Nautical Archaeology"
202611,ARCH,206,10195,ARCH DESIGN II,Must be enrolled in one of the following Departments: Architecture
