course_prefix,catalog_name,subject_context
AALO,Arabic & Asian Language,AALO — Arabic and Asian Language — Arabic & Asian Language
ACCT,Accounting,ACCT — Accounting
AEGD,Adv Ed Gen Dentistry,AEGD — Adv Ed Gen Dentistry
AERO,Aerospace Engineering,AERO — Aerospace Engineering
AERS,Aerospace Studies,AERS — Aerospace Studies
AFST,Africana Studies,AFST — Africana Studies
AGCJ,Ag Comm & Journalism,AGCJ — Agricultural Communication and Journalism — Ag Comm & Journalism
AGEC,Agricultural Economics,AGEC — Agricultural Economics
AGLS,Ag & Life Sciences,AGLS — Agricultural and Life Sciences — Ag & Life Sciences
AGSC,Agricultural Science,AGSC — Agricultural Science
AGSM,Agricultrl Systems Mgmt,AGSM — Agricultrl Systems Management — Agricultrl Systems Mgmt
ALEC,"Ag Leadrshp, Ed & Comm","ALEC — Agricultural Leadership, Ed and Communication — Ag Leadrshp, Ed & Comm"
ALED,Ag Leadership & Dev,ALED — Agricultural Leadership and Development — Ag Leadership & Dev
ANES,Clinical Anesthesiology,ANES — Clinical Anesthesiology
ANLY,Analytics,ANLY — Analytics
ANSC,Animal Science,ANSC — Animal Science
ANTH,Anthropology,ANTH — Anthropology
ARAB,Arabic,ARAB — Arabic
ARCH,Architecture,ARCH — Architecture
AREN,Architectural Engr,AREN — Architectural Engineering — Architectural Engr
ARSC,Arts & Sciences,ARSC — Arts and Sciences — Arts & Sciences
ARTS,Art,ARTS — Art
ASCC,Academic Success Center,ASCC — Academic Success Center
ASIA,Asian Studies,ASIA — Asian Studies
ASTR,Astronomy,ASTR — Astronomy
ATMO,Atmospheric Sciences,ATMO — Atmospheric Sciences
ATTR,Athletic Training,ATTR — Athletic Training
BAEN,Biological & Ag Engr,BAEN — Biological and Agricultural Engineering — Biological & Ag Engr
BEFB,Bilingual Ed Field Based,BEFB — Bilingual Ed Field Based
BESC,Bioenvironmental Sci,BESC — Bioenvironmental Science — Bioenvironmental Sci
BESL,Billingual ESL Education,BESL — Billingual ESL Education
BICH,Biochemistry,BICH — Biochemistry
BIMS,Biomedical Science,BIMS — Biomedical Science
BIOL,Biology,BIOL — Biology
BIOT,Biotechnology,BIOT — Biotechnology
BMEN,Biomedical Engineering,BMEN — Biomedical Engineering
BOTN,Botany,BOTN — Botany
BUAD,Business Administration,BUAD — Business Administration
BUSH,Geo Bush School of Gov,BUSH — Geo Bush School of Gov
BUSN,Mays Business School,BUSN — Mays Business School
CARC,College of Architecture,CARC — College of Architecture
CEHD,Coll of Ed & Human Dev,CEHD — College of Ed and Human Development — Coll of Ed & Human Dev
CHEM,Chemistry,CHEM — Chemistry
CHEN,Chemical Engineering,CHEN — Chemical Engineering
CHIN,Chinese,CHIN — Chinese
CLAS,Classics,CLAS — Classics
CLEN,College of Engineering,CLEN — College of Engineering
COMM,Communication,COMM — Communication
COSC,Construction Science,COSC — Construction Science
CPSY,Counseling Psychology,CPSY — Counseling Psychology
CSCE,Computer Sci & Engr,CSCE — Computer Science and Engineering — Computer Sci & Engr
CTFB,Coach & Teach Sec Ed FB,CTFB — Coach and Teach Sec Ed FB — Coach & Teach Sec Ed FB
CTSE,Coach & Teach Sec Ed,CTSE — Coach and Teach Sec Ed — Coach & Teach Sec Ed
CULN,Culinology,CULN — Culinology
CVEN,Civil Engineering,CVEN — Civil Engineering
CYBR,Cybersecurity,CYBR — Cybersecurity
DAEN,Data Engineering,DAEN — Data Engineering
DASC,Dairy Science,DASC — Dairy Science
DCED,Dance Education,DCED — Dance Education
DDDS,Doctor Dental Surgery,DDDS — Doctor Dental Surgery
DDHS,Dental Hygiene,DDHS — Dental Hygiene
DHUM,Digital Humanities,DHUM — Digital Humanities
DIVE,Diving Tech and Methods,DIVE — Diving Technology and Methods — Diving Tech and Methods
DPHS,Dental Public Health,DPHS — Dental Public Health
ECCB,Eco & Conservation Biol,ECCB — Eco and Conservation Biol — Eco & Conservation Biol
